wz_ln_closure,objectid_1,crn,district,county,municipality,crash_year,crash_month,day_of_week,time_of_day,hour_of_day,illumination,weather,road_condition,collision_type,relation_to_road,work_zone_type,work_zone_loc,work_zone_ind,intersect_type,tcd_type,location_type,urban_rural,fatal_count,injury_count,person_count,total_units,sch_bus_ind,sch_zone_ind,latitude,longitude,arrival_tm,cons_zone_spd_lim,dispatch_tm,est_hrs_closed,lane_closed,ln_close_dir,ntfy_hiwy_maint,spec_juris_cd,tcd_func_cd,tfc_detour_ind,workers_pres,wz_close_detour,wz_flagger,wz_law_offcr_ind,objectid,wz_moving,wz_other,wz_shlder_mdn,vehicle_count,automobile_count,motorcycle_count,bus_count,small_truck_count,heavy_truck_count,suv_count,van_count,bicycle_count,maj_inj_count,mod_inj_count,min_inj_count,tot_inj_count,unk_inj_deg_count,unk_inj_per_count,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,unbelted_occ_count,unb_death_count,unb_maj_inj_count,belted_death_count,belted_maj_inj_count,mcycle_death_count,mcycle_maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_count,ped_death_count,ped_maj_inj_count,max_severity_level,comm_veh_count,dec_lat,dec_long,rdwy_surf_type_cd,county_name
 ,25,2017028910,6,67,67301,2017,2,7,1727,17,4,1,0,4,1, , ,N,1,3,0,3,0,1,5,2,N,N,40 00:13.629,75 09:26.557,1728, ,1728,1,1,4,N, ,3,N, , , , ,70, , , ,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0038,-75.1574, ,Philadelphia
 ,26,2017021614,6,67,67301,2017,2,7,335,3,3,1,6,6,6, , ,N,0,0,0,3,0,0,1,2,N,N,39 58:23.235,75 07:55.560,345, ,335, ,0, , , ,0, , , , , ,75, , , ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9731,-75.1321, ,Philadelphia
 ,27,2017014059,6,67,67301,2017,1,5,755,7,1,1,0,4,1, , ,N,2,3,0,3,0,3,5,2,N,N,39 55:03.846,75 13:50.347,800, ,758,2,2,7,N, ,3,Y, , , , ,105, , , ,2,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9177,-75.2307, ,Philadelphia
 ,28,2017035699,6,67,67301,2017,3,2,1235,12,1,1,0,4,1, , ,N,1,3,0,3,0,2,4,2,N,N,39 58:51.435,75 09:47.359,1236, ,1236,2,1,3, , ,3,N, , , , ,122, , , ,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.981,-75.1632, ,Philadelphia
 ,29,2017041395,6,67,67301,2017,4,2,1900,19,4,1,0,4,1, , ,N,1,2,0,3,0,1,2,2,N, ,39 56:14.629,75 09:46.965,2125, ,2125, ,0, , , ,3, , , , , ,125, , , ,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9374,-75.163, ,Philadelphia
 ,30,2017043864,6,67,67301,2017,4,2,155,1,3,1,0,7,4, , ,N,0,0,0,3,0,0,1,2,N,N,40 03:07.927,75 06:00.151,200, ,155,4,2,6, , ,0,Y, , , , ,129, , , ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,40.0522,-75.1, ,Philadelphia
 ,31,2017031875,6,67,67301,2017,3,5,2235,22,3,1,0,1,1, , ,N,0,0,0,3,0,3,3,2,N,N,39 58:14.056,75 11:34.455,2238, ,2238,2,2,4, , ,0,Y, , , , ,132, , , ,2,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,39.9706,-75.1929, ,Philadelphia
 ,32,2017028862,6,67,67301,2017,2,6,2046,20,3,1,0,4,1, , ,N,2,3,0,3,0,1,2,2,N,N,39 58:07.640,75 13:07.874,2051, ,2048,9,1,6, , ,3,N, , , , ,133, , , ,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9688,-75.2189, ,Philadelphia
 ,33,2017050377,6,67,67301,2017,5,4,1609,16,1,1,0,1,1, , ,N,0,0,0,3,0,0,2,2,N,N,39 55:34.714,75 08:48.202,1637, ,1615, ,0, , , ,0, , , , , ,143, , , ,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9263,-75.1467, ,Philadelphia
 ,34,2017005316,6,67,67301,2017,1,7,1024,10,1,4,3,5,1, , ,N,0,0,0,3,0,0,2,2,N,N,39 55:26.531,75 08:50.837,1035, ,1025,1,1,1, , ,0,N, , , , ,146, , , ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.924,-75.1475, ,Philadelphia
