race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,race_cat,gender_cat,O,C,E,A,N,E_pct,A_pct,C_pct,N_pct,O_pct
3,18,1,1,1,5,US,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,2,3,3,2,2,4,2,4,4,3,2,2,2,4,3,3,2,3,3,2,3,3,2,2,4,4,2,4,2,3,3,4,3,4,3,Caucasian (European),male,32,27,20,30,24,15,12,19,30,13
3,23,2,1,2,1,SE,2,5,4,4,2,2,5,1,2,1,1,2,1,3,1,1,1,2,2,2,2,4,2,2,3,5,5,4,1,3,4,3,5,3,1,3,4,3,5,3,3,3,5,2,4,5,3,4,4,4,Caucasian (European),male,37,34,28,31,16,41,14,52,6,35
3,14,1,3,1,1,GB,2,4,2,4,2,5,1,4,4,2,1,3,2,2,2,3,2,3,2,3,5,4,4,3,5,4,5,2,2,2,2,2,3,2,1,1,3,1,2,3,4,4,3,4,3,4,4,4,2,2,Caucasian (European),other,34,20,30,36,23,49,32,3,26,20
3,20,1,2,1,1,US,1,2,2,1,1,4,1,1,1,1,1,2,1,2,2,2,4,4,2,4,5,5,5,5,5,4,5,4,5,3,4,4,2,4,2,5,4,4,4,2,5,5,5,3,4,5,5,4,5,4,Caucasian (European),female,45,35,15,46,24,5,85,57,30,81
5,35,1,2,2,1,US,4,5,5,3,5,5,1,5,4,5,1,2,1,4,2,1,4,4,2,4,5,5,5,5,5,5,5,3,5,5,2,5,5,2,1,5,5,4,5,3,5,5,5,2,5,5,5,5,2,5,Caucasian (Middle East),female,44,37,42,48,25,88,93,67,34,75
3,34,1,2,1,1,US,4,5,4,4,5,4,5,4,4,4,4,3,2,2,4,3,2,4,4,3,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,4,4,3,4,4,5,3,4,3,3,5,3,Caucasian (European),female,37,44,43,47,31,91,90,91,58,35
13,36,2,2,1,1,JO,5,1,5,1,5,1,5,4,5,5,1,1,1,5,1,1,1,1,1,4,1,5,1,5,5,5,5,5,5,5,4,1,5,5,4,1,5,5,2,5,1,1,5,4,5,5,2,1,5,3,Other,female,32,37,37,42,17,74,65,67,8,13
3,15,1,1,1,1,US,3,3,3,1,2,3,3,2,4,2,2,4,2,2,3,2,2,2,2,2,3,4,2,4,3,3,3,3,3,2,3,2,4,2,1,1,4,2,2,3,4,1,5,3,3,4,2,4,4,4,Caucasian (European),male,34,24,26,30,23,34,12,10,26,20
3,20,1,1,1,1,US,4,3,4,4,4,4,4,4,4,4,5,5,4,3,4,4,4,4,4,4,5,5,5,5,1,5,5,5,5,4,4,1,5,4,1,1,4,3,3,4,5,5,3,5,4,3,4,3,5,4,Caucasian (European),male,41,30,39,45,41,80,80,32,90,58
3,54,1,2,1,1,CA,2,3,4,3,2,4,2,2,2,2,3,4,3,5,5,5,5,5,4,5,4,3,5,3,3,4,3,4,3,5,4,4,5,5,5,1,4,5,4,5,3,3,5,4,5,5,4,2,4,5,Caucasian (European),female,40,42,26,37,44,34,37,86,95,52
3,47,2,1,1,5,US,2,2,5,4,4,2,4,4,2,3,3,3,2,2,2,4,2,5,4,4,2,4,5,5,5,5,4,5,4,4,2,4,3,2,2,2,3,4,2,3,3,4,4,4,5,4,5,2,5,4,Caucasian (European),male,40,27,32,43,31,57,70,19,58,52
4,17,2,1,1,1,IN,3,1,4,2,3,2,2,1,4,1,1,4,1,3,2,1,1,1,2,2,2,5,2,5,4,5,2,5,5,5,3,4,5,1,2,2,3,3,3,4,3,3,5,3,3,2,3,4,5,3,Caucasian (Indian),male,34,30,23,40,18,23,54,32,10,20
11,45,2,1,1,1,US,4,2,4,4,3,4,4,2,5,3,4,4,2,4,5,4,5,5,4,4,5,3,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,2,5,1,5,3,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",male,39,49,35,46,41,68,85,98,90,46
3,32,1,2,1,2,US,2,4,5,4,4,3,2,1,1,4,1,1,1,2,2,2,1,1,2,2,5,4,3,4,5,4,4,5,4,2,4,5,5,5,4,1,5,3,5,5,4,2,2,4,3,4,4,4,2,2,Caucasian (European),female,31,42,30,40,15,49,54,86,5,10
3,23,2,2,1,2,NO,3,5,5,4,5,5,3,3,3,4,3,4,2,3,3,3,2,3,3,3,5,5,4,5,5,2,5,5,5,4,2,2,4,4,3,2,2,3,1,4,3,4,4,5,4,3,4,4,5,3,Caucasian (European),female,39,27,40,45,29,83,80,19,50,46
11,23,1,2,1,1,US,4,5,4,4,4,5,2,4,5,2,2,2,1,5,5,4,4,5,5,5,4,5,5,5,4,4,5,3,4,5,3,3,4,4,2,3,3,4,3,4,3,4,4,4,4,5,4,3,2,4,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",female,37,33,39,44,38,80,76,47,83,35
3,14,1,2,1,1,US,1,4,2,1,4,5,1,4,2,1,1,1,1,1,1,1,1,3,1,1,5,3,5,5,4,5,4,4,4,3,4,3,3,2,3,2,5,4,5,4,4,4,5,4,2,5,4,5,4,5,Caucasian (European),female,42,35,25,42,12,30,65,57,1,64
3,19,1,1,1,1,IE,5,4,2,3,2,4,5,1,3,1,2,5,1,2,2,3,3,4,3,3,3,4,3,5,4,4,5,4,4,3,3,1,3,3,1,1,4,2,2,2,4,5,5,5,4,5,5,4,5,4,Caucasian (European),male,46,22,30,39,28,49,48,6,46,86
3,15,1,2,1,1,NZ,1,2,2,2,3,1,3,1,2,1,1,3,1,3,4,1,1,1,2,5,4,5,5,5,5,3,5,4,4,3,3,1,3,1,1,1,3,3,3,4,2,3,4,4,4,3,3,3,5,3,Caucasian (European),female,34,23,18,43,22,10,70,7,23,20
3,49,2,2,1,1,FI,3,4,4,2,5,4,4,2,2,4,2,4,2,4,3,4,4,4,2,4,3,4,4,4,2,4,4,3,3,4,2,1,3,2,1,1,3,2,2,2,5,5,4,5,4,4,5,5,5,4,Caucasian (European),female,46,19,34,35,33,64,27,2,66,86
5,47,1,2,2,2,US,1,1,2,1,1,1,1,2,2,1,1,2,3,1,4,2,3,3,4,1,4,4,5,4,4,5,5,4,4,5,3,2,5,4,1,2,4,5,3,5,3,3,5,4,5,5,5,3,5,5,Caucasian (Middle East),female,43,34,13,44,24,2,76,52,30,70
3,23,2,2,1,2,BE,3,2,4,3,4,5,1,1,1,1,1,4,1,3,2,1,3,5,1,3,5,5,5,5,5,5,5,3,5,5,4,2,5,5,1,4,4,5,3,4,5,2,3,2,2,4,4,4,4,3,Caucasian (European),female,33,37,25,48,24,30,93,67,30,17
3,19,2,2,1,1,FI,1,1,2,1,2,4,1,1,1,2,1,1,1,1,1,2,4,4,2,1,3,2,1,2,3,3,2,2,2,2,4,4,5,3,2,4,4,2,4,4,4,3,5,3,4,5,4,4,4,4,Caucasian (European),female,40,36,16,22,18,7,2,62,10,52
3,36,1,1,1,1,US,3,4,1,3,5,4,1,1,2,1,2,3,1,3,2,3,3,3,1,3,5,5,2,4,5,4,4,5,4,3,5,4,4,4,4,5,5,5,5,5,5,2,3,4,4,3,4,5,4,4,Caucasian (European),male,38,46,25,41,24,30,59,95,30,40
3,21,1,2,1,1,GB,2,3,4,4,4,5,4,2,4,2,1,1,1,1,5,1,1,2,3,1,5,5,4,5,5,4,5,5,5,3,4,1,2,1,2,1,4,3,2,3,4,4,5,4,4,5,5,4,5,4,Caucasian (European),female,44,23,34,46,17,64,85,7,8,75
3,21,2,2,1,1,BE,3,5,3,5,5,5,1,4,3,1,1,1,1,2,2,1,2,2,1,1,5,5,1,5,5,3,5,5,5,3,3,1,5,1,1,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,Caucasian (European),female,49,31,35,42,14,68,65,37,3,96
3,13,1,1,1,1,GB,3,2,3,3,3,1,2,1,3,2,1,4,1,1,2,1,1,1,1,1,4,2,2,3,4,3,2,3,3,4,3,3,4,2,3,2,3,3,3,3,4,5,4,5,2,4,4,4,5,3,Caucasian (European),male,40,29,23,30,14,23,12,27,3,52
